id,products,productsVariants,productsVariants,total,createdAt,scannedAt
265,Carrousel,Kinderen,153,3.50,2023-11-07 04:41:55.516001,2023-12-03 19:55:01.256086
266,Carrousel,Kinderen,153,3.50,2023-11-07 04:43:41.545878,NULL
298,Handschoenen,Volwassen,159,5.00,2023-11-08 04:00:19.312596,NULL
314,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","150,150,150,150,150,150,150,150,150",72.00,2023-11-08 19:29:23.726785,2023-12-03 22:04:39.585410
316,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-08 20:41:55.207655,"2023-12-03 19:06:10.219526,2023-12-03 19:06:15.652747"
320,Carrousel,Kinderen,153,3.50,2023-11-09 15:49:23.822699,NULL
321,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-09 21:31:27.694924,NULL
324,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Volwassen,Kinderen","143,143,143,144,148,148,148,149",45.00,2023-11-10 02:20:54.970452,NULL
328,"Reuzenrad ",Volwassen,150,8.00,2023-11-10 17:30:30.548906,2023-12-27 18:02:46.682429
331,"Reuzenrad ",Volwassen,150,8.00,2023-11-11 02:12:07.796694,NULL
334,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Carrousel,Carrousel,Carrousel","Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen","144,144,149,149,153,153,153",28.50,2023-11-11 10:27:17.939568,NULL
335,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Carrousel,Carrousel,Carrousel","Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen","144,144,149,149,153,153,153",28.50,2023-11-11 10:30:56.529775,NULL
336,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Carrousel,Carrousel,Carrousel","Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen","144,144,144,144,149,149,153,153,153",28.50,2023-11-11 10:33:08.413776,"2023-12-24 00:41:51.285722,2023-12-24 00:07:09.333660,2023-12-24 00:41:41.201681,2023-12-24 00:41:41.217839,2023-12-24 00:06:59.094212,2023-12-24 00:35:43.228424,2023-12-24 00:06:53.286140"
337,"Reuzenrad ",Volwassen,150,8.00,2023-11-11 21:39:25.006045,NULL
343,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-12 20:46:58.938468,"2023-12-11 22:09:59.735634,2023-12-11 22:10:07.938886"
