id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
3779,"Entree schaatsbaan,Entree schaatsbaan","Volwassen,Kinderen","185,186",0.00,"2024-10-07 23:26:27.969922",NULL
3780,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",0.00,"2024-10-08 00:28:25.537522",NULL
3788,"Entree schaatsbaan",Kinderen,186,0.23,"2024-10-09 15:10:12.236982",NULL
3790,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183,183,183",234.40,"2024-10-10 19:24:50.851803","2024-12-13 21:03:45.122454,2024-12-13 21:04:01.389919,2024-12-13 21:03:40.198838,2024-12-13 21:03:49.471980,2024-12-13 21:04:06.516237"
3792,"Reuzenrad ,Reuzenrad ,Schaatsverhuur,Schaatsverhuur,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","183,183,187,187,185,185",40.00,"2024-10-10 23:07:45.368838","2024-12-22 00:09:48.496215,2024-12-23 16:48:46.230450,2024-12-23 16:48:41.273873,2024-12-23 16:52:58.009504,2024-12-23 16:53:05.234593"
3807,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen","183,183,183",12.80,"2024-10-11 21:34:51.868306","2024-12-07 19:58:29.247678,2024-12-07 19:58:19.821912"
3810,"Carrousel,Carrousel","Kinderen,Kinderen","153,153",5.60,"2024-10-12 05:14:59.949008","2024-12-22 21:11:44.806934,2024-12-22 21:12:00.908642"
3820,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Kinderen,Kinderen","183,184,184",64.50,"2024-10-13 21:13:11.830622","2024-11-28 18:27:14.357805,2024-11-28 18:27:06.150833,2024-11-28 18:26:57.371484"
3821,"Entree schaatsbaan",Volwassen,185,6.00,"2024-10-13 23:24:50.569872",NULL
3823,"Entree schaatsbaan",Kinderen,186,4.50,"2024-10-13 23:31:02.132483",NULL
3825,"Entree schaatsbaan",Kinderen,186,0.23,"2024-10-13 23:35:04.430566",NULL
3830,"Entree schaatsbaan",Kinderen,186,0.23,"2024-10-15 01:19:33.573089",NULL
3831,Carrousel,Kinderen,153,0.18,"2024-10-15 11:00:46.020686",NULL
