deal_variant_key,slotDates,Model_Prediction,Applied_Growth_Rate,Final_Forecast
carrousel (5 tickets)_5 tickets,2025-11-03,0.5117433273497076,0.07749080237694725,23.152188377158996
carrousel (5 tickets)_alle dagen geldig,2025-11-03,0.5494252955610168,0.08901428612819832,25.12282740359022
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-03,0.5980774556368111,0.0846398788362281,27.237628199147522
kids pakket_alle dagen geldig,2025-11-03,0.6106970116381405,0.08197316968394074,27.74396791063688
kids pakket_magisch vrijthof pakket,2025-11-03,0.6113173020775597,0.07312037280884874,27.54491362371932
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-03,0.6286528407151624,0.07311989040672406,28.32601065563231
magisch kids pakket_5 tickets,2025-11-03,0.6335727749214985,0.07116167224336399,28.495600849293723
magisch kids pakket_alle dagen geldig,2025-11-03,0.6246303103940558,0.0873235229154987,28.51728168273904
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-03,0.4907757922068218,0.08202230023486418,22.296958807982108
magisch kids pakket_niet geldig op woensdag,2025-11-03,0.5745123958596168,0.0841614515559209,26.152887897267334
magisch vrijthof pakket_alle dagen geldig,2025-11-03,0.5096141452919078,0.07041168988591606,22.90438339404686
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-03,0.5384202470907624,0.08939819704323988,24.628293604995115
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-03,0.5928777905250984,0.08664885281600843,27.050836211406782
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-03,0.7335341819013699,0.07424678221356552,33.08649059084797
magisch vrijthof pakket_magisch vrijthof,2025-11-03,0.5125553837026833,0.07363649934414201,23.105977925205583
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-03,0.4920669344005368,0.07366809019706869,22.18301207835299
magisch vrijthof pakket_niet geldig op woensdag,2025-11-03,0.577657374428703,0.07608484485919076,26.10015726473229
magisch vrijthof pakket_weekend,2025-11-03,0.5647876882753733,0.08049512863264476,25.623256343768652
magisch vrijthof_magisch vrijthof,2025-11-03,0.5213463727260177,0.07863890037284232,23.611779682138067
magisch vrijthof_magisch vrijthof pakket,2025-11-03,0.52320207847133,0.07582458280396084,23.63399893151888
magische fijnproevers_alle dagen geldig,2025-11-03,0.5844390751577606,0.08223705789444759,26.557545423543736
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-03,0.771198558563027,0.07278987721304084,34.73818816261214
soort pakket_basis,2025-11-03,0.7704316799801287,0.07584289297070437,34.8024064718753
soort pakket_standaard,2025-11-03,0.7704316799801287,0.07732723686587384,34.8504234638741
carrousel (5 tickets)_5 tickets,2025-11-04,0.5096948964435486,0.07749080237694725,23.05951367935179
carrousel (5 tickets)_alle dagen geldig,2025-11-04,0.49753731392913425,0.08901428612819832,22.750215844948073
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-04,0.5603728171891582,0.0846398788362281,25.520484518607088
kids pakket_alle dagen geldig,2025-11-04,0.5821097351315396,0.08197316968394074,26.445247813867205
kids pakket_magisch vrijthof pakket,2025-11-04,0.5755408323551765,0.07312037280884874,25.93288699709584
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-04,0.5974807625707066,0.07311989040672406,26.921450681523915
magisch kids pakket_5 tickets,2025-11-04,0.6035007077284544,0.07116167224336399,27.143078049442828
magisch kids pakket_alle dagen geldig,2025-11-04,0.5920988959073092,0.0873235229154987,27.03207115897942
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-04,0.5865862719155193,0.08202230023486418,26.649826967660132
magisch kids pakket_niet geldig op woensdag,2025-11-04,0.6441553566808145,0.0841614515559209,29.323166833486525
magisch vrijthof pakket_alle dagen geldig,2025-11-04,0.5932271270237077,0.07041168988591606,26.662332045977635
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-04,0.5354202899262577,0.08939819704323988,24.49107026272846
