date,curlingtracks,final_forecast
2025-11-03,Street Curlingbaan 1,46.35525954179001
2025-11-03,Street Curlingbaan 2,55.03465053194469
2025-11-04,Street Curlingbaan 1,50.905779564430766
2025-11-04,Street Curlingbaan 2,46.26234122179335
2025-11-05,Street Curlingbaan 1,38.65821317071996
2025-11-05,Street Curlingbaan 2,36.933487105853246
2025-11-06,Street Curlingbaan 1,35.900873953263684
2025-11-06,Street Curlingbaan 2,47.7671230216531
2025-11-07,Street Curlingbaan 1,44.72655757120982
2025-11-07,Street Curlingbaan 2,44.48878069400547
2025-11-10,Street Curlingbaan 1,32.89083073183258
2025-11-10,Street Curlingbaan 2,46.18744268961116
2025-11-11,Street Curlingbaan 1,47.91440311978036
2025-11-11,Street Curlingbaan 2,35.7553903633578
2025-11-12,Street Curlingbaan 1,38.66902171341237
2025-11-12,Street Curlingbaan 2,36.97101171938814
2025-11-13,Street Curlingbaan 1,43.00541423515929
2025-11-13,Street Curlingbaan 2,45.01931660302184
2025-11-14,Street Curlingbaan 1,47.90032498826545
2025-11-14,Street Curlingbaan 2,43.11599090407914
2025-11-17,Street Curlingbaan 1,61.5126968335576
2025-11-17,Street Curlingbaan 2,48.14043358104769
2025-11-18,Street Curlingbaan 1,56.201444574802494
2025-11-18,Street Curlingbaan 2,55.43327572722056
2025-11-19,Street Curlingbaan 1,62.26009568357764
2025-11-19,Street Curlingbaan 2,67.45361780978669
2025-11-20,Street Curlingbaan 1,57.20505088527823
2025-11-20,Street Curlingbaan 2,62.46921229539691
2025-11-21,Street Curlingbaan 1,68.59666242344619
2025-11-21,Street Curlingbaan 2,51.73516348289047
2025-11-24,Street Curlingbaan 1,72.48509701668038
2025-11-24,Street Curlingbaan 2,57.64310445077002
2025-11-25,Street Curlingbaan 1,56.420577891251135
2025-11-25,Street Curlingbaan 2,76.9694462149615
2025-11-26,Street Curlingbaan 1,78.97919816729888
2025-11-26,Street Curlingbaan 2,71.45075861880625
2025-11-27,Street Curlingbaan 1,59.36557853980377
2025-11-27,Street Curlingbaan 2,51.62026737019217
2025-11-28,Street Curlingbaan 1,66.41716656065903
2025-11-28,Street Curlingbaan 2,57.67838816778384
2025-12-01,Street Curlingbaan 1,37.385540561326096
2025-12-01,Street Curlingbaan 2,41.99713393168171
2025-12-02,Street Curlingbaan 1,33.96260525155232
2025-12-02,Street Curlingbaan 2,46.401058109837365
2025-12-03,Street Curlingbaan 1,35.80773604229199
2025-12-03,Street Curlingbaan 2,40.32468828169139
2025-12-04,Street Curlingbaan 1,34.97818385382947
2025-12-04,Street Curlingbaan 2,36.4293754648008
2025-12-05,Street Curlingbaan 1,37.08047708988067
2025-12-05,Street Curlingbaan 2,30.3918403397207
2025-12-08,Street Curlingbaan 1,40.47173287018441
2025-12-08,Street Curlingbaan 2,36.13311323184288
2025-12-09,Street Curlingbaan 1,40.64140210378735
2025-12-09,Street Curlingbaan 2,38.237172542184844
2025-12-10,Street Curlingbaan 1,36.92007179686142
2025-12-10,Street Curlingbaan 2,39.67059807781424
2025-12-11,Street Curlingbaan 1,30.844340260230357
2025-12-11,Street Curlingbaan 2,30.984119711682
2025-12-12,Street Curlingbaan 1,31.646320163748356
2025-12-12,Street Curlingbaan 2,34.37423520144263
2025-12-15,Street Curlingbaan 1,52.75474170076149
2025-12-15,Street Curlingbaan 2,47.92437519493357
2025-12-16,Street Curlingbaan 1,65.72140552399999
2025-12-16,Street Curlingbaan 2,52.31122011683694
2025-12-17,Street Curlingbaan 1,55.497811486319804
2025-12-17,Street Curlingbaan 2,59.10502635538966
2025-12-18,Street Curlingbaan 1,54.23115911292848
2025-12-18,Street Curlingbaan 2,67.81279313512965
2025-12-19,Street Curlingbaan 1,54.329434687000784
2025-12-19,Street Curlingbaan 2,74.73017389048125
2025-12-22,Street Curlingbaan 1,69.25614094524056
2025-12-22,Street Curlingbaan 2,52.47709847157238
2025-12-23,Street Curlingbaan 1,50.10195492061877
2025-12-23,Street Curlingbaan 2,67.19678145582532
2025-12-24,Street Curlingbaan 1,67.03420457708835
2025-12-24,Street Curlingbaan 2,64.56582125400492
2025-12-25,Street Curlingbaan 1,67.45161007723176
2025-12-25,Street Curlingbaan 2,48.22731983727151
2025-12-26,Street Curlingbaan 1,55.95393125633186
2025-12-26,Street Curlingbaan 2,47.95732261523552
2025-12-29,Street Curlingbaan 1,59.39185252460788
2025-12-29,Street Curlingbaan 2,51.988256999168435
2025-12-30,Street Curlingbaan 1,45.96452594543325
2025-12-30,Street Curlingbaan 2,38.87655087777447
2025-12-31,Street Curlingbaan 1,43.202570082524964
2025-12-31,Street Curlingbaan 2,41.52779114970408
