feature,importance
rolling_mean_30d,0.41574633
rolling_mean_7d,0.21747299
rolling_mean_90d,0.10030071
product_x_year,0.06421405
product_core_le,0.0402753
lag_7d,0.02171804
variant_id_le,0.020066809
product_x_month,0.018259196
ytd_cumsum,0.017835706
lag_30d,0.017555645
month,0.017100004
product_x_weekofyear,0.016900228
lag_365d,0.016293177
variant_x_month,0.016261801
is_month_end,0.0
is_month_start,0.0
is_weekend,0.0
lag_90d,0.0
hour,0.0
day,0.0
dayofweek,0.0
weekofyear,0.0
revenue_growth_rate,0.0
year,0.0
variant_x_year,0.0
